篇,phinn1
故事,koo3-su7
前後,tsing5-au7
寫的,sia2--e5
上尾,siong7-bue2
煞戲,suah4-hi3
頭前,thau5-tsing5
空,khong3,khang1,khong1
拄拄,tu2-tu2
倒轉,to3-tng2
出版,tshut4-pan2
收入來的,siu1--jip8-lai5--e5
踮,tiam3
小說,siau2-suat4
文類,bun5-lui7
成果,sing5-ko2
落勾,lau3-kau1
來講,lai5-kong2
當然,tong1-lian5
會當,e7-tang3
論文,lun7-bun5
教材,kau3-tshai5
創作,tshong3-tsok4
目標,bok8-piau1
實在,sit8-tsai7
一站仔,tsit8-tsam7-a2
懶屍懶屍,lan2-si1-lan2-si1
想講,siunn7-kong2
定著,tiann7-tioh8
也,ia7
機關,ki1-kuan1
何乜苦咧,ho5-mi2-khoo2--leh4
自來,tsu7-lai5
出冊,tshut4-tsheh4
不管,put4-kuan2
寫了,sia2-liau2
拄,tu2
褒,po1
臭臊,tshau3-tsho1
嘛是,ma7-si7
暢的,thiong3--e5
極加,kik8-ke1
身軀邊,sin1-khu1-pinn1,sing1-khu1-pinn1
搭粒的,tah4-liap8--e5
罔,bong2
讀,thak8
呵咾幾句仔袂,o1-lo2--kui2-ku3-a2--be7
老實,lau2-sit8
食褒,tsiah8-po1
死啦,si2--lah4
猶,iau2
要意,iau3-i3
攏是,long2-si7
閣再,koh4-tsai3
評審,phing5-sim2
佮意,kah4-i3
干干仔,kan1-kan1-a2
意思的,i3-su3--e5
干焦,kan1-na1,kan1-ta1,kan1-tann1
感,kam2
謝,sia7
金順,kim1-sun7
兄,hiann1
招,tsio1
出,tshut4
文學,bun5-hak8
出版的,tshut4-pan2--e5
目今,bak8-kim1
罕矣,han2--ah4
角花仔,kak4-hue1-a2
素花仔,soo3-hue1-a2
洪,ang5
錦田,gim3-tian5
